Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Album_type,Licensed,official_video,id,Track,Album,Uri,Url_spotify,Url_youtube,Comments,Description,Title,Channel,Composer,Artist
1.0,1.2167e-05,0.0,-29.372,0.0364,0.921167317,0.915,,0.226,132.813,96625.0,86950.0,955.0,5016602.0,2,1,2,14,12,,13,3,,7.0,9,14,6,5,1
2.0,0.0033749999999999,,-22.415,0.0355,0.944076141,0.94,0.0018608669999999,,134.311,89601.0,86950.0,955.0,8273038.0,0,1,2,15,13,11,14,3,12,7.0,9,14,6,2,12
0.0,0.003869893,4.0,-16.714,0.0331,0.941192,0.0103,0.000586376253,0.319,77.483,175644.0,2273744.0,,26635618.0,,1,2,16,14,,,3,13,1275.0,10,15,,3,13
1.0,0.000340068392,6.0,-16.827,,0.973242271,0.103,0.001295029,0.232,105.202,187373.0,9236037.0,62809.0,29325998.0,0,1,2,17,15,12,15,3,14,2114.0,11,16,7,1,14
0.0,0.036926037,3.0,-13.012,,,0.594,0.020570824,0.272,144.553,272467.0,,240853.0,23145970.0,2,,2,18,,13,16,3,15,1141.0,12,17,6,6,15
5.0,0.031255875,6.0,-13.781,0.0388,0.6162950509999999,0.000261,0.0018608669999999,0.578,125.231,194000.0,1870898.0,35807.0,,0,1,2,19,16,14,17,3,16,576.0,13,,,2,1
0.0,0.036264691,8.0,-12.953,0.0648,0.8439086249999999,0.0263,0.0462682789999999,0.576,170.721,162286.0,19436.0,1119.0,9516698.0,2,0,0,20,17,15,,3,,55.0,14,18,8,1,16
1.0,0.0133120529999999,6.0,-14.936,0.0334,0.7660608750000001,0.807,0.0018608669999999,0.082,117.069,217606.0,706018.0,7201.0,19457528.0,,,2,21,18,16,18,3,17,167.0,,19,9,4,14
9.0,0.258474853,1.0,,0.101,1.3738809599999996e-07,2.5e-06,0.000881974079,0.569,119.988,272080.0,409897329.0,1749518.0,450534734.0,0,1,2,22,19,17,19,4,18,34870.0,15,20,10,7,17
5.0,0.437245479,6.0,-4.315,0.306,2.8632880000000007e-06,0.0,,0.518,85.996,324307.0,295026831.0,2212839.0,227592322.0,0,1,2,23,20,18,20,4,19,32923.0,16,,11,8,16
8.0,0.529475129,4.0,-6.759,0.251,0.0869383069999999,0.00175,0.000230346397,0.737,83.011,231240.0,60823771.0,403945.0,220334731.0,0,1,2,24,21,,21,4,20,12928.0,17,21,11,8,18
9.0,0.241804367,,-6.711,0.303,6.44972544e-07,4.19e-06,,0.715,99.498,,31503357.0,293459.0,,0,1,2,25,22,19,22,4,21,8605.0,18,22,12,7,19
2.0,0.7863304670000001,10.0,-3.99,0.304,,1.2e-05,0.001331,0.72,79.675,237233.0,2434744.0,63107.0,16694375.0,,0,2,26,,20,23,4,,1919.0,,23,13,3,6
3.0,,10.0,,0.339,5.759303679999998e-07,5.87e-05,0.458314011,0.78,136.734,158467.0,12105762.0,145123.0,53722491.0,0,1,2,27,23,21,24,4,22,5263.0,19,24,12,3,18
5.0,,,,0.37,,0.000108,0.007645373,0.442,138.335,,73500123.0,547052.0,41668859.0,0,1,2,28,24,22,25,4,23,20151.0,,,,4,20
2.0,0.1140841249999999,5.0,-13.131,0.439,0.4967930880000001,0.00198,0.0010612079999999,0.698,174.836,202451.0,518998.0,19870.0,3718088.0,0,1,,29,25,23,26,4,24,610.0,20,25,14,2,7
5.0,0.2236485429999999,4.0,,0.219,,,0.000354894912,0.526,86.055,252360.0,295026831.0,,27414643.0,,1,2,30,20,24,27,4,19,32923.0,16,26,11,8,21
6.0,0.4986772570000001,6.0,-4.699,0.323,,0.0,0.0002371766589999,0.56,89.767,238600.0,27097198.0,189648.0,,0,1,2,31,26,25,28,4,,6751.0,21,27,11,4,22
8.0,0.133432831,10.0,-8.914,0.0319,,0.0,0.0003034644479999,0.771,94.736,227653.0,18701629.0,,402838433.0,0,1,2,32,27,26,29,5,25,,22,28,15,,18
3.0,0.020123648,2.0,,0.0501,0.669921875,,0.002197,0.354,205.846,188238.0,,2539804.0,947117209.0,2,1,2,33,28,27,,5,26,,23,29,16,1,12
1.0,0.120553784,7.0,-10.407,0.0312,,0.0944,0.2348851129999999,0.373,79.255,229827.0,9091676.0,116240.0,109527635.0,0,1,2,34,29,28,30,5,27,5253.0,24,,15,2,23
8.0,0.322828856,10.0,-10.456,0.0472,,0.000982,,0.828,117.743,235693.0,79796.0,1240.0,82300943.0,0,0,0,35,30,29,31,5,,16.0,,30,,8,
6.0,0.0523136239999999,8.0,-6.665,0.0399,0.246491883,0.0,0.001331,,,143531.0,2876944.0,,39109023.0,0,1,2,36,31,30,32,5,28,2971.0,25,31,15,6,24
5.0,0.4855876560000001,9.0,-10.915,0.0341,0.005929741,5.3e-06,0.0011248639999999,0.812,159.996,202000.0,350629.0,9782.0,22699812.0,,1,2,37,32,31,33,5,29,674.0,,32,,2,25
3.0,0.3313738879999999,4.0,-7.881,0.0379,0.000481890304,0.0,3.8614471999999984e-05,0.708,160.697,226267.0,613769.0,6355.0,49600732.0,0,0,0,38,,32,34,5,30,139.0,26,33,,6,26
4.0,0.065939264,4.0,-12.366,0.0256,0.2032974719999999,0.00143,0.0011248639999999,0.867,94.285,153413.0,,,12787820.0,0,1,2,39,,28,35,5,31,64.0,,34,,1,27
6.0,0.037595375,7.0,-13.534,0.034,0.0251537569999999,0.00845,0.0006630548479999,0.824,122.239,222533.0,7508.0,141.0,24754190.0,0,1,2,40,33,33,36,5,32,1.0,27,35,17,5,7
6.0,0.0006405039279999,9.0,-17.696,,0.5393531439999998,0.000259,0.006967871,,90.666,,647837.0,11454.0,20386329.0,,1,2,41,34,,37,,,109.0,28,,17,2,18
6.0,,,,,0.0054517759999999,0.000622,0.001520875,0.68,123.57,,26276321.0,239386.0,449706835.0,0,0,0,42,35,34,,6,,,,36,18,,18
5.0,0.089314623,0.0,-13.148,0.0303,0.1092153519999999,0.00105,0.000985074875,0.523,121.989,268867.0,418605.0,1367.0,145647003.0,0,0,0,43,36,35,38,6,33,95.0,29,37,19,2,0
6.0,0.5863762529999998,,-6.968,0.0282,,1.15e-05,0.075151448,0.919,129.881,161440.0,2909425.0,17713.0,247489800.0,0,0,0,44,37,36,39,,34,698.0,30,38,,7,27
5.0,0.413493625,,,0.0291,0.003581577,4.33e-06,0.7635519440000001,0.582,,242413.0,48359522.0,218216.0,,0,,2,45,38,37,40,6,35,4641.0,31,39,,6,12
3.0,0.7685752960000001,2.0,-4.316,,0.006644672,9.9e-06,0.004173281,,136.993,221720.0,22304997.0,119571.0,,,1,2,46,39,38,41,6,36,3497.0,32,,20,3,16
2.0,0.273359449,9.0,-5.534,,0.002146689,,0.019902511,0.408,83.405,268600.0,268948.0,4324.0,66214013.0,0,0,0,47,40,34,42,6,37,339.0,33,40,21,2,15
4.0,0.3518958159999999,7.0,-11.262,0.0283,6.331624999999999e-06,0.0,0.082881856,,137.145,290064.0,746247.0,12264.0,34702661.0,0,0,0,48,41,,43,6,,744.0,,41,21,4,27
4.0,,0.0,-8.233,0.0291,0.017984728,,0.8930563469999999,,121.961,293227.0,49623825.0,134217.0,130092726.0,0,1,,49,42,37,44,6,,4859.0,,42,22,1,16
7.0,0.5863762529999998,9.0,-5.325,0.032,0.016974593,1.31e-05,0.033386248,0.559,120.04,295013.0,11323375.0,58787.0,42896611.0,0,1,2,50,43,39,45,6,38,1864.0,34,43,20,8,16
3.0,0.034328125,0.0,-11.515,0.0275,0.0466559999999999,0.0,0.001442897,0.151,81.638,173373.0,190480.0,,32957886.0,0,0,0,51,44,40,46,6,39,336.0,35,44,21,5,28
4.0,0.5990771069999999,9.0,,0.0557,2.9791e-08,0.0337,0.088121125,0.503,172.676,194867.0,29241488.0,497777.0,411824343.0,,0,0,52,45,,47,7,40,14826.0,36,45,,3,29
7.0,0.3594254309999999,2.0,-5.503,0.0352,2.4389e-08,0.000275,0.0008519713919999,,112.305,225760.0,618870.0,5975.0,217864540.0,0,0,0,53,46,41,48,7,41,176.0,,46,,2,30
2.0,0.529475129,,-5.754,0.0539,2.4642171e-05,0.000234,0.0007510894289999,0.559,119.651,184360.0,4892898.0,44216.0,144532527.0,0,0,2,54,47,,49,7,42,1547.0,37,47,23,1,31
4.0,0.8492781229999998,10.0,-3.225,,3.3076161000000006e-08,3.78e-05,0.000721734273,0.487,102.238,132853.0,2803490.0,29580.0,68990772.0,0,0,,55,48,42,50,7,,,38,48,,3,
3.0,0.563559976,1.0,-5.603,0.0816,,0.00128,0.000129554216,0.573,,270680.0,47965180.0,167010.0,83256610.0,0,0,0,56,49,,51,,43,7952.0,39,49,24,2,32
5.0,0.426957777,,-5.002,0.119,,0.0,0.0003579109999999,0.424,120.057,,,,61921081.0,2,0,0,57,50,,52,,44,71.0,40,50,25,5,33
5.0,,0.0,-5.122,0.0434,8.288185599999999e-05,6.31e-06,0.0001183707709999,0.828,148.018,235467.0,4271710.0,36679.0,49106055.0,0,,2,58,51,43,,7,45,667.0,41,,,7,34
8.0,,,-10.595,0.0426,0.119823157,0.147,0.001092727,0.263,128.026,,240714.0,2883.0,53498466.0,0,0,0,59,,41,53,,46,,42,,,,35
6.0,,,-5.737,,8.412323840000001e-07,0.000177,0.0006382773809999,0.433,111.0,261840.0,3929494.0,,,0,1,2,60,52,44,54,7,,168.0,43,51,26,7,36
5.0,,5.0,-4.496,,0.002628072,0.00643,0.0001609891839999,,77.677,201360.0,4625811.0,,35744541.0,0,0,0,61,53,42,55,7,47,556.0,44,52,27,2,
1.0,0.0011248639999999,6.0,,0.0445,0.921167317,,0.0016851589999999,0.162,120.484,,15711126.0,244788.0,193705968.0,0,1,2,62,54,45,56,8,48,6834.0,,,28,,26
0.0,0.030959144,5.0,-18.197,0.0407,0.8358968879999998,0.676,0.000709732288,0.2,75.056,247808.0,17645535.0,224423.0,141143374.0,3,1,2,63,,46,,8,49,,45,53,29,6,23
2.0,0.004096,4.0,-21.04,,0.958585256,0.0176,0.001442897,0.395,169.898,239508.0,8471245.0,78690.0,79455335.0,0,1,2,64,55,45,57,8,,,46,54,28,2,16
2.0,,,-20.696,0.0317,0.941192,0.263,0.002000376,0.296,90.928,307698.0,18188095.0,161891.0,111668452.0,0,1,2,65,56,45,,8,50,,47,,28,2,37
1.0,,4.0,-19.991,0.0304,0.8682506639999998,0.847,0.000955671625,0.252,140.096,135444.0,1221363.0,17659.0,53987535.0,3,1,2,66,57,46,58,8,,26.0,48,55,30,6,33
2.0,0.0031121359999999,3.0,-19.585,0.0389,0.961504803,0.0688,0.0012250429999999,,,284131.0,7317644.0,49505.0,115351781.0,,1,2,67,58,45,59,8,,1021.0,49,56,,7,38
2.0,0.004330747,0.0,-18.131,0.0489,0.794022776,0.751,0.001520875,0.356,142.119,168040.0,1238928.0,11495.0,93762318.0,0,0,0,68,59,47,60,8,51,318.0,,57,31,3,
3.0,0.099897344,7.0,-9.657,0.0304,0.2002016249999999,0.0,,0.446,124.97,364613.0,,1315.0,66599419.0,0,0,0,69,,48,61,8,52,69.0,50,58,32,,39
3.0,,4.0,-18.645,0.0339,0.979146657,0.908,0.000719323136,0.369,,133267.0,1097364.0,23871.0,31119978.0,0,0,0,70,60,49,62,8,53,514.0,51,59,33,2,25
0.0,0.092345408,10.0,-10.422,0.0307,,0.00228,0.3270827689999999,0.189,113.066,,240025467.0,1279053.0,374908872.0,0,,0,71,,50,63,9,54,59796.0,52,,34,1,4
9.0,0.019902511,7.0,-12.238,0.091,2.460375e-06,0.00138,9.7972181e-05,0.742,111.485,226240.0,63789393.0,519736.0,320875067.0,0,1,2,72,61,51,64,9,,,53,60,35,7,40
7.0,0.967361669,9.0,-4.613,,1.0612080000000003e-06,4.45e-05,0.0869383069999999,0.84,126.47,352906.0,82384309.0,678837.0,194870867.0,,1,2,73,62,,65,9,55,20995.0,,,,4,23
7.0,0.300763,2.0,-12.759,0.0438,0.0092609999999999,0.000426,,0.91,120.75,215173.0,57418794.0,348189.0,173523531.0,0,1,2,74,63,52,66,9,56,17658.0,54,61,35,1,18
0.0,0.8043570000000001,10.0,,0.125,7.077887999999998e-06,0.0022,0.0011910159999999,0.376,195.815,280000.0,25115573.0,196994.0,89798826.0,0,1,2,75,64,,67,9,,7476.0,55,62,35,1,33
2.0,0.3328125569999999,6.0,,0.0427,6.028568e-06,5.63e-06,0.0280944639999999,,,265320.0,6052700.0,72433.0,7981736.0,0,1,2,76,65,53,68,9,57,2893.0,56,63,36,1,23
7.0,,2.0,-10.457,0.0321,0.0006405039279999,0.000388,0.008242408,0.639,135.406,178987.0,6214045.0,52412.0,66628334.0,0,1,2,77,66,,,9,58,2775.0,57,64,35,1,16
8.0,0.129554216,1.0,-8.825,0.0453,6.3521199e-05,0.0847,0.000302111711,0.727,114.832,347667.0,,183216.0,64530419.0,,1,2,78,67,54,69,9,59,8958.0,58,,35,,
7.0,0.7610484970000001,6.0,-2.926,0.113,4.8228544e-08,6.92e-05,0.007189057,0.658,128.04,186210.0,52877.0,893.0,443481299.0,2,0,,79,68,55,70,10,,55.0,59,65,37,8,18
7.0,0.469097433,5.0,-6.932,,0.022188041,0.79,0.002406104,,124.431,208600.0,76279956.0,561800.0,219078589.0,0,1,2,80,,56,71,,60,13551.0,60,66,38,5,26
6.0,0.371694959,6.0,-12.734,0.048,0.1038229999999999,0.00121,0.085184,0.972,,220733.0,418957377.0,3435429.0,262132318.0,0,1,,81,69,57,72,10,61,126425.0,61,67,,,
7.0,0.6162950509999999,7.0,-7.033,0.0362,0.002197,0.000912,0.0869383069999999,,115.118,261267.0,180559851.0,,110735153.0,0,1,2,82,70,58,73,10,62,,62,68,,6,31
5.0,0.653972032,0.0,-6.427,0.106,0.0006814719999999,0.124,0.002146689,0.804,,242240.0,,73583.0,130718006.0,0,,0,83,71,56,74,10,63,1915.0,63,69,39,7,15
5.0,0.7121219570000001,,-6.509,0.036,0.0241375689999999,0.00816,0.010941048,0.966,126.143,351573.0,52877.0,893.0,81018008.0,0,0,0,84,,58,,10,64,55.0,59,65,37,3,21
7.0,0.438976,2.0,-6.009,0.105,4.0001688e-05,,0.0297909999999999,0.902,128.976,276080.0,283117873.0,1373934.0,76312247.0,0,1,2,85,72,,,,65,44809.0,,70,38,7,41
8.0,,0.0,-5.961,0.0367,0.010648,0.0,0.0233936559999999,0.93,112.517,242187.0,14631119.0,112003.0,118247658.0,0,1,2,86,73,59,75,,66,3834.0,64,71,38,1,39
8.0,0.663054848,10.0,-4.729,0.0792,1.96122941e-07,0.545,,0.969,123.996,,76279956.0,561800.0,13070905.0,2,1,2,87,74,60,76,10,60,13551.0,60,,38,7,23
8.0,,1.0,-5.843,0.0293,0.0233936559999999,,0.0278181269999999,,131.659,225627.0,68250778.0,360042.0,,0,1,2,88,75,61,77,10,67,7502.0,65,72,38,5,37
5.0,0.0432435509999999,,-16.842,0.0463,0.1105919999999999,0.0176,0.001520875,0.45,101.384,182653.0,47676885.0,335189.0,193343622.0,0,1,2,89,,62,78,11,68,16382.0,66,73,40,3,27
1.0,0.5373677969999998,0.0,-9.02,0.0737,,0.109,0.665338617,0.344,106.859,134267.0,8726124.0,58294.0,9999321.0,,1,2,90,76,63,79,11,69,1658.0,,74,,1,
0.0,0.047045881,9.0,-14.398,0.0499,0.241804367,0.00119,0.0036522639999999,0.612,187.711,152867.0,1240905.0,9102.0,142956049.0,0,0,0,91,77,,80,11,70,224.0,67,75,41,1,41
2.0,0.017779581,2.0,-13.868,0.0272,0.430368875,0.00105,0.0029859839999999,0.201,73.36,212667.0,,442638.0,82658228.0,0,1,2,92,,64,,11,,21293.0,68,76,42,5,16
6.0,0.121287375,10.0,-13.877,0.0422,0.1038229999999999,6.98e-05,0.003869893,0.528,101.999,247000.0,5249473.0,,36940149.0,,,0,93,78,65,81,11,71,168.0,69,77,43,,42
4.0,6.4e-05,4.0,-19.994,0.0405,0.7991787520000001,0.00178,0.001331,0.418,117.136,138600.0,20875687.0,105516.0,,0,,2,94,,66,82,11,72,3437.0,70,78,42,2,
1.0,0.633839779,4.0,,0.085,0.000302111711,0.00201,0.8792179119999999,0.36,112.228,156173.0,12672554.0,59786.0,1948126.0,2,0,0,95,79,67,83,11,73,,71,79,44,3,16
6.0,0.093576664,2.0,-12.44,0.0332,0.5043583360000001,,0.0029242069999999,0.54,,287627.0,23357100.0,,61905067.0,0,1,2,96,80,68,84,11,74,5775.0,72,,45,7,43
4.0,0.143055667,1.0,-14.647,0.0311,0.145531576,0.0564,,0.723,148.03,,,22232.0,19385881.0,0,1,2,97,81,65,,11,75,1012.0,73,80,40,7,44
2.0,0.1981552869999999,,-10.964,0.0376,0.006331625,0.0,0.066923416,0.908,150.566,183307.0,91274010.0,423722.0,762844275.0,0,1,,98,82,69,85,12,76,11553.0,74,81,46,1,45
4.0,0.143877824,8.0,-10.266,0.0309,0.0494308629999999,0.00254,0.001520875,0.797,86.204,205613.0,4302880.0,38657.0,259257572.0,0,1,2,99,83,70,86,12,77,1371.0,,82,,1,0
3.0,0.006644672,9.0,-18.758,0.0959,0.5948233209999999,,0.011852352,0.334,77.464,155453.0,4374454.0,54558.0,130259092.0,0,1,2,100,84,71,,12,78,202.0,75,83,47,1,
5.0,0.158340421,0.0,-7.851,,0.284890312,,0.0007991787519999,0.693,93.744,197160.0,23502353.0,131987.0,80883600.0,,,,101,85,72,87,12,79,4653.0,76,84,46,8,8
4.0,0.0224257679999999,,-12.207,0.0339,0.125751501,8.3e-06,0.0035118079999999,0.563,67.409,274040.0,4925805.0,69344.0,170421395.0,0,1,2,102,86,73,88,12,,297.0,77,85,47,8,2
0.0,0.1085313329999999,4.0,-10.266,,0.021024576,0.0139,0.002515456,0.182,143.532,260387.0,11013537.0,,106432184.0,0,1,2,103,87,,89,12,80,,78,86,46,6,46
2.0,0.4003155529999999,0.0,-7.36,,0.0251537569999999,,0.028652616,,176.717,226760.0,,6132.0,,,,2,104,88,74,90,12,81,298.0,79,87,46,6,10
3.0,0.3639943439999999,7.0,-7.139,0.0445,0.0052680239999999,0.0,,0.955,,,5316213.0,25987.0,,3,0,0,105,89,75,91,12,82,1292.0,,88,48,2,29
4.0,,,-11.165,0.0285,0.0428749999999999,3.52e-05,,0.597,75.798,272160.0,7383344.0,64580.0,84802486.0,0,1,2,106,90,,92,12,,607.0,80,89,47,3,
1.0,0.0432435509999999,7.0,-8.296,0.0286,0.055742968,0.00108,0.0005158496079999,0.235,140.804,249627.0,4731304.0,33336.0,,0,1,2,107,91,76,93,,83,1770.0,81,90,46,3,12
8.0,0.0243889999999999,4.0,-17.117,0.139,2.1717639000000004e-05,0.0,0.1861694109999999,0.506,92.409,,351401822.0,2549466.0,518080621.0,0,1,2,108,92,77,94,13,84,42859.0,82,91,49,3,33
2.0,0.128787625,2.0,-8.926,0.245,6.069845700000001e-05,0.0,0.0007863304669999,0.495,99.935,320267.0,155585471.0,1046356.0,327451076.0,0,1,2,109,93,,95,,85,22035.0,83,92,50,1,44
4.0,0.075151448,10.0,-13.364,0.499,0.0091293289999999,0.0,,0.563,130.47,226987.0,212066884.0,1317003.0,270271722.0,0,1,2,110,94,77,96,13,86,30299.0,84,93,49,8,
4.0,0.2371766589999999,3.0,,0.0976,0.0016430319999999,0.0,0.1133799039999999,0.668,80.02,326533.0,118440055.0,731399.0,164734842.0,0,1,2,111,95,,97,,87,,85,94,50,1,15
7.0,,1.0,-7.9,,1.6430319999999998e-06,0.0,0.002628072,0.63,88.926,221467.0,45995920.0,353016.0,90239854.0,0,1,2,112,96,78,,13,88,5942.0,86,,,5,47
6.0,0.128787625,1.0,-11.709,0.138,,0.0,0.012812904,0.399,89.953,260067.0,70572748.0,473024.0,126371223.0,0,1,2,113,97,77,,13,89,,87,95,,2,5
2.0,0.047832147,10.0,-13.888,0.166,0.3444721009999999,3.18e-06,0.002744,0.549,136.422,350533.0,25880121.0,,69682284.0,,0,0,114,98,78,98,13,90,4102.0,88,96,,,12
1.0,,7.0,-10.714,0.504,0.002048383,,0.001404928,,173.273,,4494.0,174.0,62682051.0,0,0,0,115,99,78,99,,91,,89,,51,7,
9.0,0.420189749,2.0,-6.129,0.37,0.0009940119919999,3.74e-06,0.000586376253,0.65,94.899,333907.0,3207135.0,,52139842.0,0,0,0,116,100,78,100,13,92,1223.0,90,97,,7,40
5.0,0.270840023,1.0,-9.465,0.0903,0.006859,0.00877,6.9934528e-05,0.931,,280760.0,6835989.0,60342.0,,0,1,2,117,101,,,13,93,1927.0,,98,50,7,16
9.0,0.491169069,7.0,-2.801,0.247,,2.41e-05,3.3386248e-05,,125.071,182413.0,135227988.0,1114973.0,85119241.0,0,0,2,118,,79,101,14,94,20713.0,91,,52,7,
8.0,0.5100823990000001,1.0,-4.1,0.156,,0.128,,0.0815,,213733.0,1144903863.0,10125701.0,486837929.0,2,,2,119,102,80,102,14,95,400601.0,92,99,53,8,36
9.0,0.433798093,8.0,,0.23,2.7084002300000004e-07,0.0,0.0243889999999999,0.626,82.038,274387.0,,637212.0,151540966.0,2,1,2,120,103,81,103,14,96,15449.0,93,100,54,7,48
8.0,0.382657176,2.0,-6.726,0.323,0.047437928,1.88e-06,0.0017715609999999,0.57,150.061,235897.0,33429589.0,432912.0,93984506.0,2,1,2,121,104,82,104,,97,5210.0,94,101,55,2,20
6.0,,2.0,,0.032,2.8619117900000004e-07,1.07e-05,0.0011248639999999,0.667,120.021,159820.0,,176658.0,,2,0,2,122,105,83,105,14,98,8849.0,95,102,56,5,36
8.0,,10.0,,0.227,3.53393243e-07,0.00091,0.0498360319999999,0.211,127.984,133125.0,2526998.0,22407.0,58705100.0,2,0,0,123,106,,106,14,99,303.0,96,103,57,,18
9.0,,10.0,-2.018,0.274,0.012649337,0.0,0.000128787625,0.642,99.976,250747.0,34373643.0,,49656144.0,0,1,2,124,107,84,107,14,100,6218.0,97,104,55,8,
6.0,0.5453385129999999,,,0.188,,0.0,,,,283040.0,1118781.0,17687.0,79133174.0,3,1,2,125,108,85,108,14,101,,98,105,58,1,
9.0,0.907039232,1.0,-3.278,0.157,2.9242070000000003e-06,0.0025,0.000964430272,0.798,103.005,226107.0,22665050.0,159374.0,57672736.0,2,,2,126,109,86,109,14,102,3175.0,,106,55,,36
9.0,0.697864103,1.0,-3.083,0.285,4.03583419e-07,,0.052734375,0.814,149.956,281080.0,148825368.0,,11783832.0,2,,0,127,110,,,,103,11749.0,99,107,59,6,
0.0,0.1871492479999999,1.0,-7.818,,0.263374721,0.0,0.008,0.285,77.986,237467.0,129107.0,973.0,169769959.0,2,0,0,128,111,87,110,,104,107.0,88,,60,,49
4.0,,,-6.457,0.0284,,0.0,0.0233936559999999,0.685,143.924,284467.0,344790169.0,1213946.0,185457245.0,0,1,2,129,112,88,,15,105,34345.0,100,108,61,1,23
4.0,,7.0,-6.143,0.0279,0.000887503681,,0.002146689,0.261,133.906,281027.0,382555979.0,1352278.0,141498115.0,0,1,2,130,113,89,111,15,106,42242.0,101,,,7,50
6.0,0.7338708080000002,6.0,-4.269,0.0407,0.001404928,0.0,,,,225987.0,,677360.0,181228175.0,0,1,2,131,114,90,,15,107,,102,109,61,7,1
6.0,0.8682506639999998,0.0,,0.0607,6.128487e-06,0.0,0.015438249,0.796,124.961,205920.0,154804639.0,738986.0,134391079.0,0,1,2,132,115,90,112,15,108,25018.0,103,110,61,3,19
3.0,0.264609288,10.0,-6.873,0.0272,0.006751269,0.0,0.010793861,0.492,140.264,288947.0,172409230.0,,73913009.0,0,1,2,133,116,,113,15,109,19287.0,104,111,61,6,7
4.0,,1.0,-7.939,0.0309,6.751269e-06,1.78e-05,0.007077888,0.491,139.956,285067.0,221552390.0,714967.0,126878363.0,0,1,2,134,117,89,114,15,110,22191.0,105,112,61,7,51
0.0,,0.0,-14.14,0.0314,,2.94e-06,0.000697864103,,103.821,217227.0,25942458.0,,53928512.0,3,1,2,135,118,91,115,15,111,0.0,106,113,62,2,18
2.0,,,-7.441,,0.000416832723,0.0,,0.654,149.855,263667.0,,236820.0,70993793.0,0,1,2,136,,92,116,15,112,5001.0,107,114,61,,36
0.0,0.053157376,1.0,,0.0313,0.094196375,0.0,0.001442897,0.255,97.311,173560.0,,,32610775.0,0,0,0,137,119,89,,15,113,5034.0,,115,63,9,52
4.0,0.3518958159999999,0.0,-9.665,0.0379,0.047437928,0.0,0.004096,0.819,,148160.0,154325789.0,750611.0,166829226.0,,,2,138,120,93,,16,114,18063.0,108,116,,4,
5.0,0.451217663,9.0,-10.445,0.0372,,6.92e-06,,0.73,132.017,306773.0,5590.0,100.0,,0,,,139,121,94,117,,115,7.0,109,117,64,4,
